Run Name,Chain pickerel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date & Time,3/11/2019 14:51 UTC +0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,1,1,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel,green,red,green,red,green,red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Threshold,0.031954741123878305,0.06133250527286216,0.2975499073860025,0.23891673999722163,0.31785774033296477,0.1857165279823917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cq,0.00,30.83,37.00,33.12,38.80,32.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Subtracted Relative Fluorescence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well 2 green,0.959019608,0.976568627,1.011960784,1.017745098,1.041470588,1.026862745,0.97372549,0.986568627,1.014215686,0.948137255,0.982941176,1.004019608,1.023431373,0.966568627,0.990196078,1.011960784,1.036470588,0.976470588,0.979901961,1.026764706,1.026372549,1.05754902,0.99754902,1.005294118,1.036470588,1.063431373,1.048039216,1.022745098,1.054411765,0.923235294,0.932058824,1.104509804,1.13745098,1.177058824,1.195784314,1.252156863,1.316666667,1.426470588,1.510784314,1.64745098
Well 2 red,1.169117647,1.162352941,1.195,1.189607843,1.198333333,1.187058824,1.144117647,1.136176471,1.145,1.113137255,1.126764706,1.137745098,1.14127451,1.097647059,1.120098039,1.132941176,1.133039216,1.084019608,1.094509804,1.107352941,1.106568627,1.121176471,1.131372549,1.144509804,1.152254902,1.192156863,1.149411765,1.145294118,1.151666667,1.143627451,1.180686275,1.248921569,1.316862745,1.471470588,1.64754902,1.861764706,2.020196078,2.136764706,2.222647059,2.295392157
Well 3 green,2.184313725,2.139019608,2.131078431,2.134313725,2.134705882,2.099411765,2.118627451,2.138529412,2.118921569,2.1,2.115784314,2.06745098,2.093431373,2.129117647,2.097254902,2.035,2.035392157,2.032058824,2.05127451,2.033431373,2.045882353,2.103431373,2.163431373,2.171960784,2.137352941,2.044901961,2.043529412,2.048529412,2.086666667,2.095294118,2.125490196,2.116862745,2.059901961,2.081176471,2.129607843,2.106176471,2.179215686,2.313823529,2.418431373,2.518823529
Well 3 red,1.022745098,1.00127451,1.016568627,0.998529412,0.995490196,0.993431373,0.987254902,0.991568627,0.985392157,0.984411765,0.995980392,0.971078431,0.974607843,0.995686275,0.980294118,0.955196078,0.955588235,0.932745098,0.970686275,0.969313725,0.941862745,0.963823529,0.994705882,1.023921569,0.982745098,0.968235294,0.959411765,0.973921569,1.014803922,1.019509804,1.052254902,1.078823529,1.150294118,1.261764706,1.408431373,1.573823529,1.728039216,1.88,1.996568627,2.083235294
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HW Number,463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FW Version,2.0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW Version,2.0.3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duration,72:42.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run Type,Qualitative Run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Green,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R^2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y Intercept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slopes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
