Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
13,8.558857,8.6722,8.739044,9.464149,9.025308,8.792809,9.173525,8.679466,8.866918,8.442608,9.461243,9.099416,9.11976,9.337728,9.257806,9.67921,8.927949,9.170619,8.304562,8.544326,9.079073,9.003511,9.2084,9.224385,8.558857,9.269431,9.199682,9.313025,9.003511,8.698356,9.2549,9.170619,8.875637,8.596638,9.086338,8.999151,8.752122,8.813153,8.374311,8.768106,8.53706,8.904699,9.295587,8.45278,8.362686,9.2084,9.029667,8.666388
14,8.707075,8.792809,8.865465,9.610914,9.128479,8.813153,9.186603,8.702716,8.878543,8.477483,9.477227,9.128479,9.127026,9.353712,9.289775,9.67921,8.943933,9.18515,8.31328,8.56031,9.112495,9.013683,9.23165,9.249088,8.557404,9.304306,9.215666,9.34354,9.012229,8.704169,9.281056,9.183697,8.890168,8.605357,9.111041,9.009323,8.762293,8.814606,8.385936,8.786996,8.545779,8.904699,9.305759,8.455686,8.355421,9.237463,9.026761,8.675106
15,8.907605,9.013683,9.080526,9.852131,9.265072,8.83059,9.215666,8.712887,8.904699,8.489107,9.512102,9.134291,9.140104,9.365337,9.294134,9.685023,8.935214,9.169166,8.320546,8.571935,9.116854,9.028214,9.236009,9.249088,8.571935,9.323196,9.222931,9.365337,9.016589,8.708528,9.304306,9.198228,8.89598,8.616982,9.127026,9.020948,8.759387,8.826231,8.397561,8.794262,8.551592,8.89598,9.32465,8.451326,8.364139,9.266525,9.03112,8.683825
16,9.291228,9.392946,9.480133,10.302597,9.554242,8.865465,9.2549,8.769559,8.978808,8.529795,9.570226,9.144463,9.167713,9.368243,9.315931,9.711179,8.954105,9.186603,8.337983,8.571935,9.128479,9.051464,9.257806,9.256353,8.580654,9.34354,9.237463,9.388587,9.028214,8.724512,9.32465,9.204041,8.893074,8.622794,9.137198,9.045651,8.766653,8.837855,8.401921,8.80734,8.551592,8.904699,9.327556,8.468764,8.378671,9.270884,9.047104,8.693997
17,9.929146,10.029411,10.135489,11.032062,10.004708,8.927949,9.270884,8.824777,9.038386,8.600997,9.631257,9.137198,9.161901,9.372602,9.330462,9.689382,8.957011,9.174979,8.314734,8.573388,9.131385,9.035479,9.266525,9.27815,8.56031,9.353712,9.246181,9.388587,9.023854,8.702716,9.323196,9.196775,8.885808,8.614076,9.138651,9.034026,8.757934,8.818965,8.409186,8.794262,8.550138,8.884355,9.337728,8.451326,8.355421,9.282509,9.035479,8.689638
18,10.978296,11.078561,11.215154,12.259945,10.818453,9.07762,9.382774,8.968636,9.196775,8.728872,9.798366,9.170619,9.204041,9.392946,9.36679,9.712632,8.971542,9.183697,8.333624,8.573388,9.150276,9.065995,9.282509,9.294134,8.577748,9.368243,9.266525,9.404571,9.023854,8.701263,9.337728,9.218572,8.89598,8.624247,9.156088,9.038386,8.76084,8.820418,8.414999,8.810246,8.551592,8.893074,9.350806,8.460045,8.356874,9.289775,9.045651,8.683825
19,12.486631,12.605787,12.78888,14.035654,12.091384,9.333368,9.560054,9.209853,9.475774,8.994792,10.097708,9.202588,9.221478,9.41329,9.382774,9.750413,8.986073,9.183697,8.337983,8.574841,9.157541,9.080526,9.291228,9.299947,8.589373,9.36679,9.270884,9.417649,9.048557,8.730325,9.347899,9.214213,8.893074,8.634419,9.18515,9.07326,8.773918,8.83059,8.416452,8.833496,8.554498,8.906152,9.378415,8.47167,8.362686,9.3014,9.057276,8.702716
20,14.461417,14.584932,14.811618,16.351922,13.864186,9.785288,9.894271,9.654507,9.953849,9.43218,10.599033,9.23165,9.292681,9.469961,9.439446,9.792553,9.038386,9.196775,8.361233,8.593732,9.167713,9.097963,9.317384,9.311572,8.595185,9.388587,9.272337,9.442352,9.050011,8.733231,9.369696,9.222931,8.910511,8.634419,9.198228,9.089245,8.771012,8.834949,8.423717,8.839309,8.551592,8.897433,9.403118,8.477483,8.371405,9.318837,9.071807,8.693997
21,16.760248,16.921543,17.203448,19.101218,16.119423,10.552533,10.468252,10.383972,10.754516,10.184895,11.459278,9.314478,9.38568,9.56732,9.552789,9.849225,9.140104,9.23165,8.358327,8.602451,9.182244,9.111041,9.333368,9.323196,8.598091,9.395852,9.305759,9.452524,9.07326,8.743403,9.378415,9.230197,8.906152,8.65331,9.230197,9.111041,8.763747,8.83059,8.432436,8.878543,8.561763,8.914871,9.419102,8.490561,8.378671,9.34354,9.079073,8.717247
22,19.304655,19.49356,19.836495,22.138232,18.727767,11.764432,11.425856,11.547918,11.9824,11.35756,12.800505,9.451071,9.555695,9.730069,9.734428,9.975646,9.285415,9.249088,8.387389,8.619888,9.205494,9.141557,9.379868,9.350806,8.609716,9.422008,9.333368,9.47868,9.090698,8.753575,9.403118,9.249088,8.927949,8.663481,9.236009,9.127026,8.78409,8.836402,8.42953,8.897433,8.548685,8.910511,9.442352,8.503639,8.393202,9.342087,9.099416,8.723059
