resultID,runID,assayID,pcrChemistryID,extractID,wellLocation,sampleName,copyNumber,control,userProvidedThresholdValue,userProvidedCqValue,systemCalculatedThresholdValue,systemCalculatedCqValue,Cycle_Number1,Cycle_Number2,Cycle_Number3,Cycle_Number4,Cycle_Number5,Cycle_Number6,Cycle_Number7,Cycle_Number8,Cycle_Number9,Cycle_Number10,Cycle_Number11,Cycle_Number12,Cycle_Number13,Cycle_Number14,Cycle_Number15,Cycle_Number16,Cycle_Number17,Cycle_Number18,Cycle_Number19,Cycle_Number20,Cycle_Number21,Cycle_Number22,Cycle_Number23,Cycle_Number24,Cycle_Number25,Cycle_Number26,Cycle_Number27,Cycle_Number28,Cycle_Number29,Cycle_Number30,Cycle_Number31,Cycle_Number32,Cycle_Number33,Cycle_Number34,Cycle_Number35,Cycle_Number36,Cycle_Number37,Cycle_Number38,Cycle_Number39,Cycle_Number40,Cycle_Number41,Cycle_Number42,Cycle_Number43,Cycle_Number44,Cycle_Number45,Cycle_Number46,Cycle_Number47,Cycle_Number48,Cycle_Number49,Cycle_Number50,Cycle_Number51,Cycle_Number52,Cycle_Number53,Cycle_Number54,Cycle_Number55,Cycle_Number56,Cycle_Number57,Cycle_Number58,Cycle_Number59,Cycle_Number60,Cycle_Number61,Cycle_Number62,Cycle_Number63,Cycle_Number64,Cycle_Number65,Cycle_Number66,Cycle_Number67,Cycle_Number68,Cycle_Number69,Cycle_Number70
115,5,2,3,23,24,O2.2-rep2,,,0.587667699,33.23117496,2.349695103,35.8523786,0.004528795,0.01126388,0.026523131,0.026238383,0.018432635,0.015640886,0.020871805,0.01607439,0.007265641,-0.006055774,-0.001827855,-0.00562227,-0.012425352,-0.0237411,-0.028037182,-0.02130193,-0.019079345,-0.017358427,-0.025665842,-0.02946059,-0.033255005,-0.032536753,-0.029311502,-0.02006925,-0.011328665,-0.009607747,-0.004878495,0.004363757,0.023634342,0.05193026,0.104795178,0.215823763,0.409083682,0.764801267,1.374232852,2.349695103,3.739824355,5.512029274,7.564522859,8.63299661,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
116,5,2,3,23,25,O2.2-rep3,,,0.587667699,34.98786047,1.563272723,36.7971877,0.05642167,0.057197653,0.062235636,0.048220286,0.025680602,0.009157919,-0.002852098,-0.020878782,-0.036398799,-0.048408816,-0.046379167,-0.047859184,-0.051345201,-0.051321218,-0.045280568,-0.029211252,-0.015147936,-0.006599953,-0.00507197,-0.00404532,-0.000511337,0.002521312,0.004049629,0.008586278,0.013624261,0.014149578,0.010162227,0.00567321,0.003691527,0.007225176,0.020787492,0.061927142,0.129140125,0.261536441,0.498728091,0.913419407,1.563272723,2.489403373,3.680279689,4.318099006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
117,5,2,3,24,26,A3.1-rep1,,,0.587667699,34.86714302,3.042373085,37.81804603,-0.01922169,-0.007310345,0.016634834,0.024033345,0.019397857,0.016768036,0.015141215,0.00950306,0.006873572,0.002238417,0.006127262,-0.001516559,-0.00916038,-0.017806868,-0.017428023,-0.015043511,-0.010151999,-0.013784487,-0.012904309,-0.01453113,-0.011645285,-0.010263773,-0.011890594,-0.008503416,-0.006118904,-0.005238725,-0.00485988,-0.003478368,-0.001093856,0.005301989,0.017714835,0.06221768,0.132292859,0.27507237,0.535683882,1.016916061,1.817547573,3.042373085,4.721477597,5.640943775,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
118,5,2,3,24,27,A3.1-rep2,,,0.587667699,33.38157038,2.418236837,35.7751202,-0.004941534,0.003821838,0.023365544,0.027866917,0.017827623,0.010295328,0.004768701,0.002250407,0.001737779,0.000723818,0.007732191,0.00320823,-0.001817397,-0.012859692,-0.011366986,-0.004859947,-0.000859908,-0.004882202,-0.014420163,-0.019947123,-0.024471084,-0.025986378,-0.028003006,-0.0265103,-0.024014594,-0.028538555,-0.028048183,-0.028059477,-0.016037104,0.003005268,0.048120974,0.150899013,0.339919719,0.702429092,1.345728797,2.418236837,3.999175876,6.081526582,8.543946954,9.836072993,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
119,5,2,3,24,28,A3.1-rep3,,,0.587667699,35.97392571,1.684239942,37.75883247,-0.021758403,-0.009949556,0.010634125,0.020688139,0.016201152,0.016728166,0.015750847,0.010260861,0.009784874,0.000785221,0.008332235,0.004848249,-0.000641737,-0.013653057,-0.018641709,-0.011596362,-0.006556348,-0.008035001,-0.015028988,-0.01650764,-0.011969293,-0.006929613,-0.007906932,-0.008382585,-0.009359571,-0.007829557,-0.006299877,-0.004268863,-0.003741849,-0.004718836,0.000822512,0.022408859,0.056530539,0.119733886,0.243106567,0.490829247,0.937612594,1.684239942,2.821968289,3.454775136,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120,5,2,3,25,29,A3.2-rep1,,,0.587667699,33.4867872,3.660375955,36.83548327,-0.007358766,0.00447762,0.024838172,0.028150391,0.02043161,0.018729829,0.017529715,0.010813934,0.01011482,0.000390373,0.008215592,0.003004144,-0.00521597,-0.020455751,-0.024163198,-0.017842313,-0.012524427,-0.012721874,-0.020941989,-0.027156436,-0.03286955,-0.031061331,-0.029253112,-0.022430893,-0.018617007,-0.018814455,-0.019513236,-0.018708017,-0.010883131,0.007973088,0.049894307,0.14596786,0.321765746,0.657012298,1.246474851,2.222525403,3.660375955,5.575068841,7.89089106,9.114137779,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
121,5,2,3,25,30,A3.2-rep2,,,0.587667699,33.51186739,3.529698204,36.87596345,-0.010818812,-0.003581844,0.010925624,0.022926092,0.023394227,0.029378029,0.028843163,0.025299965,0.023762099,0.014703234,0.015171035,0.00460817,-0.006456362,-0.018523561,-0.020061426,-0.020595958,-0.018623823,-0.026679689,-0.032228887,-0.038780419,-0.034300951,-0.03182715,-0.033866349,-0.03490288,-0.035939079,-0.034969611,-0.034000143,-0.016985675,2.88E-05,0.028575928,0.065145729,0.16038053,0.324809998,0.644175466,1.206224268,2.142326069,3.529698204,5.385890005,7.64922814,8.844810441,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
122,5,2,3,25,31,A3.2-rep3,,,0.587667699,34.78367454,2.773857672,37.87110754,0.001177905,0.01038971,0.030381848,0.034829985,0.026241457,0.021664594,0.022603066,0.02003187,0.014953341,0.006365146,0.00680195,-0.003792245,-0.015890441,-0.028991303,-0.031562498,-0.034134027,-0.032192889,-0.037271418,-0.038839947,-0.043417143,-0.040473005,-0.036024867,-0.028568062,-0.020108591,-0.009141787,-0.005194649,-0.001749178,0.004704627,0.016172765,0.035161902,0.053649707,0.102222178,0.176868316,0.32572312,0.587896925,1.042111396,1.755054201,2.773857672,4.11005481,4.828763781,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
123,5,2,3,26,32,O3.1-rep1,,,0.587667699,40,0.351030893,30.74139415,0.09806856,0.108848893,0.124893893,0.12790256,0.127401227,0.134420893,0.148460227,0.155981227,0.161496893,0.165508227,0.17804356,0.18055056,0.181052227,0.183559227,0.19509156,0.208128227,0.219660893,0.22166656,0.23019056,0.239215893,0.25676556,0.26779656,0.27632056,0.28735156,0.298883893,0.30590356,0.312923227,0.322450227,0.33498556,0.34451256,0.351030893,0.36757756,0.374095893,0.38111556,0.381616893,0.388135227,0.39465356,0.398664893,0.40568456,0.40869306,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
124,5,2,3,26,33,O3.1-rep2,,,0.587667699,40,0.148019132,7.16247176,0.099632965,0.121945798,0.157044465,0.163562798,0.156543132,0.148019132,0.144509132,0.141500465,0.144509132,0.148019132,0.162560132,0.168577132,0.177602465,0.184622132,0.202171465,0.228746465,0.252814132,0.271366132,0.281895798,0.293929798,0.306465132,0.320504465,0.334544132,0.352093465,0.367637132,0.376161132,0.388696465,0.398724798,0.411761465,0.416775798,0.427806798,0.444854798,0.455384465,0.463908465,0.465412465,0.476944798,0.483463132,0.492488798,0.497502798,0.501263465,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
125,5,2,3,26,34,O3.1-rep3,,,0.587667699,40,0.221039552,10.76996049,0.096940385,0.125270218,0.170397218,0.190453552,0.195968885,0.198977552,0.202988885,0.201484885,0.203991885,0.205997552,0.218031218,0.220538218,0.221039552,0.221039552,0.231569218,0.251625552,0.272183552,0.286724552,0.298257218,0.310792552,0.330848885,0.348398218,0.363440552,0.378482885,0.392020885,0.405558885,0.416088552,0.428122552,0.440156552,0.451187552,0.464224218,0.483779218,0.494810218,0.502331552,0.500827218,0.508348552,0.517373885,0.526399218,0.534421885,0.536928885,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
126,5,2,3,27,35,O3.2-rep1,,,0.587667699,33.6610244,2.461435521,36.87353627,-0.019167018,-0.011496216,0.006954919,0.013873721,0.01427419,0.012167659,0.011063461,0.005947929,0.007350731,0.005745533,0.011661335,0.006044804,-0.003081727,-0.014715259,-0.016320457,-0.012410321,-0.005992853,-0.004589717,-0.007197915,-0.011310447,-0.012915978,-0.011011509,-0.008605707,-0.003191239,-0.000785103,0.000116699,-0.000987166,0.002421303,0.012348438,0.033807907,0.082343709,0.178513511,0.341370979,0.615040781,1.034119583,1.647244719,2.461435521,3.482208323,4.702041458,5.33948526,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
