SCresultID,runID,pcrChemistryID,standardCurveID,wellLocation,sampleName,copyNumber,control,standardConc,userProvidedThresholdValue,userProvidedCqValue,systemCalculatedThresholdValue,systemCalculatedCqValue,Cycle_Number1,Cycle_Number2,Cycle_Number3,Cycle_Number4,Cycle_Number5,Cycle_Number6,Cycle_Number7,Cycle_Number8,Cycle_Number9,Cycle_Number10,Cycle_Number11,Cycle_Number12,Cycle_Number13,Cycle_Number14,Cycle_Number15,Cycle_Number16,Cycle_Number17,Cycle_Number18,Cycle_Number19,Cycle_Number20,Cycle_Number21,Cycle_Number22,Cycle_Number23,Cycle_Number24,Cycle_Number25,Cycle_Number26,Cycle_Number27,Cycle_Number28,Cycle_Number29,Cycle_Number30,Cycle_Number31,Cycle_Number32,Cycle_Number33,Cycle_Number34,Cycle_Number35,Cycle_Number36,Cycle_Number37,Cycle_Number38,Cycle_Number39,Cycle_Number40,Cycle_Number41,Cycle_Number42,Cycle_Number43,Cycle_Number44,Cycle_Number45,Cycle_Number46,Cycle_Number47,Cycle_Number48,Cycle_Number49,Cycle_Number50,Cycle_Number51,Cycle_Number52,Cycle_Number53,Cycle_Number54,Cycle_Number55,Cycle_Number56,Cycle_Number57,Cycle_Number58,Cycle_Number59,Cycle_Number60,Cycle_Number61,Cycle_Number62,Cycle_Number63,Cycle_Number64,Cycle_Number65,Cycle_Number66,Cycle_Number67,Cycle_Number68,Cycle_Number69,Cycle_Number70
12,2,2,1,12,,,,57040,9.73,5.548218499,,0,9.787707,9.762913,9.668114,9.519351,9.4158,9.383714,9.389548,9.414342,9.379339,9.367671,9.382256,9.391007,9.398299,9.405591,9.417259,9.373505,9.402674,9.417259,9.431843,9.449345,9.513517,9.595191,9.767289,10.016685,10.374007,10.983642,11.720163,12.614197,13.664287,14.889391,16.27055,17.761093,19.318726,20.962407,22.741725,24.500624,26.192435,28.07822,30.144854,32.17211,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,2,2,1,13,,,,57040,9.73,23.61716003,,0,9.348711,9.361837,9.328293,9.269955,9.145986,9.010349,9.016183,9.046811,9.017642,9.029309,9.05702,9.086189,9.105149,9.128484,9.14161,9.108066,9.150361,9.173696,9.197032,9.218909,9.283081,9.360379,9.535394,9.777498,10.127528,10.697784,11.412428,12.2525,13.263211,14.418309,15.735296,17.142707,18.609915,20.182132,21.853524,23.50304,25.107343,26.873534,28.859953,30.802618,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,2,2,1,14,,,,57040,9.73,24.25519138,,0,9.287456,9.307875,9.269955,9.18974,9.064312,8.992848,8.998682,9.024934,8.982639,8.987014,9.010349,9.024934,9.032226,9.035143,9.046811,9.016183,9.043894,9.052645,9.073063,9.089106,9.154737,9.215992,9.357462,9.577689,9.904384,10.426511,11.076983,11.857258,12.786295,13.872846,15.095033,16.422229,17.80193,19.254553,20.81802,22.378569,23.886614,25.572591,27.423373,29.291657,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,2,2,1,15,,,,57040,9.73,17.44210743,,0,9.951054,9.961263,9.908759,9.816876,9.678323,9.564563,9.568938,9.606858,9.571855,9.583523,9.603941,9.612692,9.62436,9.640403,9.659363,9.614151,9.644778,9.668114,9.694366,9.706033,9.774581,9.856255,10.026894,10.277749,10.642363,11.253457,12.007479,12.89568,13.960353,15.170873,16.566617,18.055702,19.62646,21.2716,23.055293,24.820027,26.504545,28.37137,30.448213,32.46526,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,2,2,1,16,,,,57040,9.73,12.10197593,,0,9.834378,9.847504,9.792082,9.716243,9.579148,9.501849,9.5106,9.52956,9.478514,9.485806,9.501849,9.519351,9.528102,9.545603,9.552895,9.517892,9.551437,9.571855,9.58644,9.611234,9.672489,9.754163,9.913134,10.155238,10.527145,11.114903,11.849966,12.730874,13.76492,14.960855,16.333263,17.793179,19.35227,20.952198,22.714014,24.445203,26.126804,27.973211,30.034011,32.056892,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,2,2,1,17,,,,57040,9.73,24.16519532,,0,9.488723,9.494557,9.455179,9.389548,9.250995,9.110983,9.110983,9.109524,9.061395,9.054103,9.067229,9.080355,9.087648,9.090564,9.093481,9.058478,9.084731,9.087648,9.112441,9.121192,9.188281,9.252453,9.382256,9.602483,9.939387,10.483391,11.167408,11.987061,12.972978,14.097448,15.394017,16.788302,18.239467,19.802933,21.467033,23.122382,24.690224,26.45204,28.362619,30.274657,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,2,2,1,18,,,,5704,9.73,6.153690117,,0,10.057522,10.091066,10.045854,9.991891,9.848962,9.729369,9.745412,9.774581,9.738119,9.74687,9.781873,9.792082,9.809584,9.821252,9.835836,9.802292,9.828544,9.856255,9.872298,9.872298,9.905842,9.910217,9.940845,9.972931,9.997725,10.146488,10.331712,10.62632,11.110528,11.829547,12.799421,13.993898,15.379432,16.851016,18.452402,20.049413,21.572042,23.183637,24.903159,26.485585,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,2,2,1,19,,,,5704,9.73,19.32507072,,0,9.813959,9.828544,9.770206,9.72791,9.589357,9.496016,9.513517,9.54852,9.513517,9.517892,9.538311,9.552895,9.583523,9.603941,9.612692,9.576231,9.601024,9.615609,9.622901,9.628735,9.657904,9.669572,9.697283,9.71916,9.748329,9.876673,10.066272,10.341921,10.804252,11.511604,12.477102,13.65116,14.978357,16.438272,18.032366,19.635211,21.141797,22.751934,24.465621,26.064091,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,2,2,1,20,,,,5704,9.73,28.46840849,,0,8.994306,9.001599,9.003057,8.966596,8.848461,8.776996,8.788664,8.825125,8.78283,8.803248,8.819291,8.830959,8.848461,8.844085,8.861587,8.826584,8.848461,8.854294,8.865962,8.864504,8.88638,8.884922,8.909716,8.935968,8.96222,9.073063,9.220367,9.45372,9.853338,10.444013,11.270958,12.306463,13.481979,14.768339,16.177209,17.590454,18.927859,20.330895,21.822897,23.164678,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,2,2,1,21,,,,5704,9.73,27.16945942,,0,9.5106,9.504766,9.462471,9.4158,9.315167,9.18974,9.115358,9.15182,9.112441,9.118275,9.127026,9.14161,9.147444,9.159112,9.176613,9.14161,9.167863,9.192656,9.204324,9.207241,9.233493,9.245161,9.285998,9.310791,9.332668,9.465388,9.631652,9.881048,10.309835,10.945722,11.803295,12.865052,14.072655,15.375057,16.798511,18.221966,19.572497,21.152006,22.693596,24.102466,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,2,2,1,22,,,,5704,9.73,28.01587086,,0,9.287456,9.280164,9.243702,9.183906,9.074521,8.953469,8.946177,8.979722,8.949094,8.956386,8.963679,8.985556,8.994306,9.004515,9.017642,8.98118,8.998682,9.010349,9.023475,9.017642,9.03806,9.049728,9.064312,9.089106,9.109524,9.221826,9.38809,9.634569,10.054605,10.667157,11.534939,12.589404,13.797006,15.132953,16.598703,18.055702,19.441236,20.918653,22.474827,23.927451,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
